Round Number,Date,Location,Home Team,Away Team,Result
12,07/01/2019 22:00,Golden 1 Center,Sacramento Kings,Orlando Magic,111 - 95
12,08/01/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Indiana Pacers,15 - 123
12,08/01/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,132 - 115
12,08/01/2019 19:30,AmericanAirlines Arena,Miami Heat,Denver Nuggets,99 - 103
12,08/01/2019 19:30,Scotiabank Arena,Toronto Raptors,Atlanta Hawks,104 - 101
12,08/01/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,117 - 119
12,08/01/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,115 - 111
12,08/01/2019 22:30,ORACLE Arena,Golden State Warriors,New York Knicks,122 - 95
12,08/01/2019 22:30,Staples Center,LA Clippers,Charlotte Hornets,128 - 109
12,09/01/2019 19:00,TD Garden,Boston Celtics,Indiana Pacers,135 - 108
12,09/01/2019 19:00,Capital One Arena,Washington Wizards,Philadelphia 76ers,123 - 106
12,09/01/2019 19:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,116 - 100
12,09/01/2019 20:00,Toyota Center,Houston Rockets,Milwaukee Bucks,109 - 116
12,09/01/2019 20:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,96 - 86
12,09/01/2019 20:00,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,140 - 124
12,09/01/2019 20:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,104 - 94
12,09/01/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Orlando Magic,106 - 93
12,09/01/2019 22:00,Moda Center,Portland Trail Blazers,Chicago Bulls,124 - 112
12,09/01/2019 22:30,Staples Center,Los Angeles Lakers,Detroit Pistons,113 - 100
13,10/01/2019 19:00,AmericanAirlines Arena,Miami Heat,Boston Celtics,115 - 99
13,10/01/2019 21:00,Pepsi Center,Denver Nuggets,LA Clippers,121 - 100
13,10/01/2019 21:30,AT+ACY-T Center,San Antonio Spurs,Oklahoma City Thunder,154 - 147
13,10/01/2019 22:00,Golden 1 Center,Sacramento Kings,Detroit Pistons,112 - 102
13,11/01/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,121 - 123
13,11/01/2019 19:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,113 - 106
13,11/01/2019 19:30,Madison Square Garden,New York Knicks,Indiana Pacers,106 - 121
13,11/01/2019 19:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,122 - 105
13,11/01/2019 20:00,Toyota Center,Houston Rockets,Cleveland Cavaliers,141 - 113
13,11/01/2019 20:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,115 - 119
13,11/01/2019 22:00,Vivint Smart Home Arena,Utah Jazz,Los Angeles Lakers,113 - 95
13,11/01/2019 22:00,Moda Center,Portland Trail Blazers,Charlotte Hornets,127 - 96
13,11/01/2019 22:30,ORACLE Arena,Golden State Warriors,Chicago Bulls,146 - 109
13,12/01/2019 15:30,Staples Center,LA Clippers,Detroit Pistons,104 - 109
13,12/01/2019 17:00,AmericanAirlines Arena,Miami Heat,Memphis Grizzlies,112 - 108
13,12/01/2019 19:00,Amway Center,Orlando Magic,Boston Celtics,105 - 103
13,12/01/2019 20:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,110 - 106
13,12/01/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,San Antonio Spurs,122 - 112
13,12/01/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Denver Nuggets,102 - 93
13,12/01/2019 22:00,Golden 1 Center,Sacramento Kings,Charlotte Hornets,104 - 97
13,12/01/2019 22:00,Vivint Smart Home Arena,Utah Jazz,Chicago Bulls,110 - 102
13,13/01/2019 13:00,Madison Square Garden,New York Knicks,Philadelphia 76ers,105 - 108
13,13/01/2019 13:00,Capital One Arena,Washington Wizards,Toronto Raptors,138 - 140
13,13/01/2019 15:30,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,114 - 133
13,13/01/2019 18:00,Amway Center,Orlando Magic,Houston Rockets,116 - 109
13,13/01/2019 19:00,American Airlines Center,Dallas Mavericks,Golden State Warriors,114 - 119
13,13/01/2019 20:00,Pepsi Center,Denver Nuggets,Portland Trail Blazers,116 - 113
13,13/01/2019 21:30,Staples Center,Los Angeles Lakers,Cleveland Cavaliers,95 - 101
13,14/01/2019 19:30,Barclays Center,Brooklyn Nets,Boston Celtics,109 - 102
13,14/01/2019 20:00,Toyota Center,Houston Rockets,Memphis Grizzlies,112 - 94
13,14/01/2019 20:30,AT+ACY-T Center,San Antonio Spurs,Charlotte Hornets,93 - 108
13,14/01/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Detroit Pistons,100 - 94
13,14/01/2019 22:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,115 - 107
13,14/01/2019 22:30,Staples Center,LA Clippers,New Orleans Pelicans,117 - 121
13,15/01/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Phoenix Suns,131 - 97
13,15/01/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Minnesota Timberwolves,149 - 107
13,15/01/2019 19:30,State Farm Arena,Atlanta Hawks,Oklahoma City Thunder,142 - 126
13,15/01/2019 20:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,124 - 86
13,15/01/2019 21:00,Pepsi Center,Denver Nuggets,Golden State Warriors,111 - 142
13,15/01/2019 22:30,Staples Center,Los Angeles Lakers,Chicago Bulls,107 - 100
13,16/01/2019 19:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,120 - 115
13,16/01/2019 20:00,TD Garden,Boston Celtics,Toronto Raptors,117 - 108
13,16/01/2019 20:00,Toyota Center,Houston Rockets,Brooklyn Nets,142 - 145
13,16/01/2019 20:00,FedExForum,Memphis Grizzlies,Milwaukee Bucks,101 - 111
13,16/01/2019 20:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,101 - 105
13,16/01/2019 22:00,Moda Center,Portland Trail Blazers,Cleveland Cavaliers,129 - 112
13,16/01/2019 22:30,ORACLE Arena,Golden State Warriors,New Orleans Pelicans,147 - 140
13,16/01/2019 22:30,Staples Center,LA Clippers,Utah Jazz,109 - 129
13,17/01/2019 15:00,The O2 Arena,Washington Wizards,New York Knicks,101 - 100
14,17/01/2019 19:00,Spectrum Center,Charlotte Hornets,Sacramento Kings,114 - 95
14,17/01/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,96 - 120
14,17/01/2019 19:30,Scotiabank Arena,Toronto Raptors,Phoenix Suns,111 - 109
14,17/01/2019 21:00,Pepsi Center,Denver Nuggets,Chicago Bulls,135 - 105
14,17/01/2019 21:30,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,128 - 138
14,18/01/2019 19:00,TD Garden,Boston Celtics,Memphis Grizzlies,122 - 116
14,18/01/2019 19:00,Little Caesars Arena,Detroit Pistons,Miami Heat,98 - 93
14,18/01/2019 19:00,Amway Center,Orlando Magic,Brooklyn Nets,115 - 117
14,18/01/2019 20:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,113 - 116
14,18/01/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Cleveland Cavaliers,115 - 99
14,18/01/2019 22:30,Staples Center,LA Clippers,Golden State Warriors,94 - 112
14,18/01/2019 22:30,Moda Center,Portland Trail Blazers,New Orleans Pelicans,128 - 112
14,19/01/2019 15:30,Wells Fargo Center,Philadelphia 76ers,Oklahoma City Thunder,115 - 117
14,19/01/2019 17:00,Spectrum Center,Charlotte Hornets,Phoenix Suns,135 - 115
14,19/01/2019 19:00,Little Caesars Arena,Detroit Pistons,Sacramento Kings,101 - 103
14,19/01/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Dallas Mavericks,111 - 99
14,19/01/2019 19:00,Amway Center,Orlando Magic,Milwaukee Bucks,108 - 118
14,19/01/2019 19:30,State Farm Arena,Atlanta Hawks,Boston Celtics,105 - 113
14,19/01/2019 19:30,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,119 - 90
14,19/01/2019 20:00,United Center,Chicago Bulls,Miami Heat,103 - 117
14,19/01/2019 20:30,Toyota Center,Houston Rockets,Los Angeles Lakers,138 - 134
14,19/01/2019 22:00,Pepsi Center,Denver Nuggets,Cleveland Cavaliers,124 - 102
14,20/01/2019 18:00,Bankers Life Fieldhouse,Indiana Pacers,Charlotte Hornets,120 - 95
14,20/01/2019 19:00,Target Center,Minnesota Timberwolves,Phoenix Suns,116 - 114
14,20/01/2019 19:00,AT+ACY-T Center,San Antonio Spurs,LA Clippers,95 - 103
14,21/01/2019 12:30,Madison Square Garden,New York Knicks,Oklahoma City Thunder,109 - 127
14,21/01/2019 13:00,Quicken Loans Arena,Cleveland Cavaliers,Chicago Bulls,88 - 104
14,21/01/2019 14:00,Capital One Arena,Washington Wizards,Detroit Pistons,101 - 87
14,21/01/2019 14:00,Fiserv Forum,Milwaukee Bucks,Dallas Mavericks,116 - 106
14,21/01/2019 15:00,State Farm Arena,Atlanta Hawks,Orlando Magic,103 - 122
14,21/01/2019 15:30,Barclays Center,Brooklyn Nets,Sacramento Kings,123 - 94
14,21/01/2019 17:30,FedExForum,Memphis Grizzlies,New Orleans Pelicans,85 - 105
14,21/01/2019 18:00,TD Garden,Boston Celtics,Miami Heat,107 - 99
14,21/01/2019 20:00,Wells Fargo Center,Philadelphia 76ers,Houston Rockets,121 - 93
14,21/01/2019 21:00,Vivint Smart Home Arena,Utah Jazz,Portland Trail Blazers,104 - 109
14,21/01/2019 22:30,Staples Center,Los Angeles Lakers,Golden State Warriors,111 - 130
14,22/01/2019 19:00,Scotiabank Arena,Toronto Raptors,Sacramento Kings,120 - 105
14,22/01/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,123 - 114
14,22/01/2019 20:30,American Airlines Center,Dallas Mavericks,LA Clippers,106 - 98
14,22/01/2019 21:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,91 - 118
14,23/01/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Toronto Raptors,110 - 106
14,23/01/2019 19:30,TD Garden,Boston Celtics,Cleveland Cavaliers,123 - 103
14,23/01/2019 19:30,Barclays Center,Brooklyn Nets,Orlando Magic,114 - 110
14,23/01/2019 19:30,AmericanAirlines Arena,Miami Heat,LA Clippers,99 - 111
14,23/01/2019 19:30,Madison Square Garden,New York Knicks,Houston Rockets,110 - 114
14,23/01/2019 20:00,Wells Fargo Center,Philadelphia 76ers,San Antonio Spurs,122 - 120
14,23/01/2019 20:00,United Center,Chicago Bulls,Atlanta Hawks,101 - 121
14,23/01/2019 20:00,FedExForum,Memphis Grizzlies,Charlotte Hornets,107 - 118
14,23/01/2019 20:00,Smoothie King Center,New Orleans Pelicans,Detroit Pistons,94 - 98
14,23/01/2019 22:30,Vivint Smart Home Arena,Utah Jazz,Denver Nuggets,114 - 108
